,question_id,graph,table
0,How many months have less than 40mm of rain?bar,0.43529411764705883,0.7529411764705882
1,How many months have less than 40mm of rain?line,0.22727272727272727,0.7529411764705882
2,How many months have less than 40mm of rain?radial,0.7738095238095238,0.7529411764705882
3,How many months have more rain than the average month?bar,0.8588235294117647,0.7058823529411765
4,How many months have more rain than the average month?line,0.7391304347826086,0.7058823529411765
5,How many months have more rain than the average month?radial,0.7294117647058823,0.7058823529411765
6,How much does it rain in March?bar,0.9294117647058824,0.9294117647058824
7,How much does it rain in March?line,0.7976190476190477,0.9294117647058824
8,How much does it rain in March?radial,0.9294117647058824,0.9294117647058824
9,"In San Francisco, as the weather gets warmer, there is generally more rain.bar",0.8160919540229885,0.9047619047619048
10,"In San Francisco, as the weather gets warmer, there is generally more rain.line",0.7831325301204819,0.9047619047619048
11,"In San Francisco, as the weather gets warmer, there is generally more rain.radial",0.8072289156626506,0.9047619047619048
12,In which season does each month have less rain than the month before?bar,0.5813953488372093,0.573170731707317
13,In which season does each month have less rain than the month before?line,0.34523809523809523,0.573170731707317
14,In which season does each month have less rain than the month before?radial,0.38372093023255816,0.573170731707317
15,Which month has 25 mm of rain?bar,0.9506172839506173,0.9886363636363636
16,Which month has 25 mm of rain?line,0.7108433734939759,0.9886363636363636
17,Which month has 25 mm of rain?radial,0.9058823529411765,0.9886363636363636
18,"Which season has more rain, the summer or the spring?bar",0.9438202247191011,0.9294117647058824
19,"Which season has more rain, the summer or the spring?line",0.8928571428571429,0.9294117647058824
20,"Which season has more rain, the summer or the spring?radial",0.9418604651162791,0.9294117647058824
21,Which season has the most rain?bar,0.9642857142857143,0.9438202247191011
22,Which season has the most rain?line,0.8375,0.9438202247191011
23,Which season has the most rain?radial,0.8658536585365854,0.9438202247191011
24,average-base-bg,0.40963855421686746,0.4823529411764706
25,average-base-lg1,0.5340909090909091,0.36046511627906974
26,average-base-sp,0.5238095238095238,0.6896551724137931
27,average-modified-bg,0.4222222222222222,0.5542168674698795
28,average-modified-lg1,0.5925925925925926,0.3132530120481928
29,average-modified-sp,0.4024390243902439,0.23809523809523808
30,intersection-base-bg,0.8170731707317073,0.75
31,intersection-base-lg1,0.8705882352941177,0.5955056179775281
32,intersection-base-sp,0.7126436781609196,0.813953488372093
33,intersection-modified-bg,0.898876404494382,0.9523809523809523
34,intersection-modified-lg1,0.2,0.7816091954022989
35,intersection-modified-sp,0.6705882352941176,0.8928571428571429
36,max-base-bg,0.9761904761904762,0.9166666666666666
37,max-base-lg1,0.8588235294117647,0.8352941176470589
38,max-base-sp,0.8690476190476191,0.8571428571428571
39,max-modified-bg,0.8941176470588236,0.8795180722891566
40,max-modified-lg1,0.38095238095238093,0.7901234567901234
41,max-modified-sp,0.5568181818181818,0.8536585365853658
42,min-base-bg,0.9534883720930233,0.8372093023255814
43,min-base-lg1,0.735632183908046,0.7931034482758621
44,min-base-sp,0.7325581395348837,0.7865168539325843
45,min-modified-bg,0.9047619047619048,0.04819277108433735
46,min-modified-lg1,0.4146341463414634,0.75
47,min-modified-sp,0.9186046511627907,0.8488372093023255
48,trend-base-bg,0.9655172413793104,0.9880952380952381
49,trend-base-lg1,0.8023255813953488,0.7349397590361446
50,trend-base-sp,0.6904761904761905,0.8554216867469879
51,trend-modified-bg,0.963855421686747,0.9397590361445783
52,trend-modified-lg1,0.8470588235294118,0.8255813953488372
53,trend-modified-sp,0.7625,0.8255813953488372
54,trendComp-base-bg,0.7901234567901234,0.8024691358024691
55,trendComp-base-lg1,0.5882352941176471,0.40963855421686746
56,trendComp-base-sp,0.6190476190476191,0.3068181818181818
57,trendComp-modified-bg,0.6,0.627906976744186
58,trendComp-modified-lg1,0.25882352941176473,0.4659090909090909
59,trendComp-modified-sp,0.47560975609756095,0.47560975609756095
